                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2977,                 8.4416,                 3.3224,                0.71134,                0.29596,                 0.3072,                0.21267,                 2.2713,                 2.9431,                 3.4952,             6.0558e-05,             6.0558e-05,             6.0558e-05
                      2,                 2.2194,                 3.1541,                 3.1039,                0.50185,                0.29439,                0.33566,                0.23212,                 2.3163,                 2.8492,                 3.3982,             0.00011882,             0.00011882,             0.00011882
                      3,                 2.2497,                 2.7906,                 3.1108,                 0.4627,                0.32595,                0.34835,                0.24042,                 2.3359,                 2.8978,                 3.4315,             0.00017469,             0.00017469,             0.00017469
                      4,                 2.1575,                 2.4619,                 3.0356,                0.45602,                 0.3442,                0.39391,                 0.2755,                 2.2437,                 2.6296,                 3.3648,             0.00017119,             0.00017119,             0.00017119
                      5,                 2.0873,                 2.2509,                 2.9772,                0.49223,                0.36821,                0.40685,                0.28657,                 2.2188,                 2.5572,                 3.3537,             0.00016759,             0.00016759,             0.00016759
                      6,                 2.0128,                 2.0467,                 2.8974,                0.51074,                 0.3667,                0.41516,                0.29525,                 2.1672,                  2.503,                 3.2728,             0.00016398,             0.00016398,             0.00016398
                      7,                  1.945,                 1.9126,                 2.8565,                0.54787,                0.42389,                0.43792,                0.32218,                 2.0695,                 2.3152,                 3.1246,             0.00016038,             0.00016038,             0.00016038
                      8,                 1.8985,                 1.8081,                 2.8114,                0.48441,                0.43337,                0.43822,                0.32124,                 2.0446,                 2.4011,                 3.0809,             0.00015677,             0.00015677,             0.00015677
                      9,                 1.8595,                 1.7163,                  2.783,                0.55678,                0.43178,                0.46543,                0.34086,                 2.0115,                 2.1575,                 3.1195,             0.00015317,             0.00015317,             0.00015317
                     10,                 1.8178,                 1.6389,                  2.766,                0.55139,                0.42982,                0.46959,                0.35135,                 1.9607,                  2.187,                 3.0157,             0.00014957,             0.00014957,             0.00014957
                     11,                 1.7937,                 1.5801,                 2.7255,                0.58908,                0.43863,                0.47827,                0.36709,                 1.9367,                 2.1125,                 2.9794,             0.00014596,             0.00014596,             0.00014596
                     12,                 1.7394,                 1.4847,                 2.6785,                0.53606,                0.46336,                 0.4845,                0.37063,                 1.8875,                 2.0611,                 2.9272,             0.00014236,             0.00014236,             0.00014236
                     13,                 1.7142,                 1.4621,                   2.66,                0.56869,                0.43749,                0.47549,                0.36605,                 1.8849,                 2.1306,                 2.9423,             0.00013876,             0.00013876,             0.00013876
                     14,                 1.6667,                 1.3908,                 2.6175,                0.53674,                0.45765,                0.48119,                0.37864,                 1.8329,                 2.0973,                 2.9302,             0.00013515,             0.00013515,             0.00013515
                     15,                 1.6437,                 1.3447,                 2.6056,                0.56349,                0.45218,                0.48947,                0.38759,                 1.7897,                 2.0699,                 2.8453,             0.00013155,             0.00013155,             0.00013155
                     16,                 1.5986,                 1.2669,                 2.5736,                0.59914,                0.44882,                0.50494,                0.39735,                 1.8028,                 1.9849,                 2.8638,             0.00012795,             0.00012795,             0.00012795
                     17,                 1.5694,                 1.2406,                 2.5427,                0.56475,                 0.4605,                0.49491,                0.39378,                 1.7972,                 1.9526,                 2.8718,             0.00012434,             0.00012434,             0.00012434
                     18,                 1.5535,                 1.2205,                 2.5339,                0.60968,                0.43978,                0.49783,                0.40126,                 1.7449,                 2.0108,                 2.7962,             0.00012074,             0.00012074,             0.00012074
                     19,                 1.5113,                 1.1621,                 2.4943,                0.55196,                0.47967,                0.51111,                0.41221,                 1.7511,                 1.9574,                 2.7722,             0.00011714,             0.00011714,             0.00011714
                     20,                 1.4742,                 1.1287,                 2.4723,                0.58877,                0.47341,                0.49829,                0.40268,                 1.7483,                 1.9921,                 2.7791,             0.00011353,             0.00011353,             0.00011353
                     21,                  1.443,                 1.0784,                 2.4529,                0.57538,                0.47922,                0.51587,                 0.4119,                 1.7272,                 1.9232,                 2.7653,             0.00010993,             0.00010993,             0.00010993
                     22,                 1.4341,                 1.0508,                 2.4283,                0.59129,                0.48531,                0.51746,                0.41776,                 1.6812,                 1.8841,                  2.717,             0.00010632,             0.00010632,             0.00010632
                     23,                 1.3992,                 1.0322,                 2.4091,                0.51392,                0.49396,                0.50955,                0.42025,                 1.6782,                 1.9147,                 2.7088,             0.00010272,             0.00010272,             0.00010272
                     24,                  1.384,                 1.0183,                 2.3961,                0.55355,                0.48586,                0.51868,                0.42914,                 1.6509,                 1.9319,                  2.691,             9.9117e-05,             9.9117e-05,             9.9117e-05
                     25,                 1.3561,                0.97436,                 2.3846,                0.59515,                0.46046,                0.51383,                0.42667,                 1.6132,                 1.9229,                 2.6351,             9.5514e-05,             9.5514e-05,             9.5514e-05
                     26,                 1.3138,                0.95182,                  2.349,                0.55173,                0.48995,                0.52148,                0.43515,                 1.6118,                 1.9157,                 2.6629,              9.191e-05,              9.191e-05,              9.191e-05
                     27,                 1.3065,                0.91865,                 2.3516,                0.54789,                0.48802,                0.51208,                0.43074,                 1.5685,                  1.886,                 2.6109,             8.8306e-05,             8.8306e-05,             8.8306e-05
                     28,                 1.2836,                0.91286,                 2.3375,                 0.5744,                0.48962,                0.52661,                0.44439,                 1.5807,                 1.8511,                 2.6206,             8.4703e-05,             8.4703e-05,             8.4703e-05
                     29,                 1.2575,                0.87714,                 2.3108,                0.56432,                0.47809,                 0.5115,                0.43429,                 1.5549,                 1.8774,                 2.6059,             8.1099e-05,             8.1099e-05,             8.1099e-05
                     30,                 1.2486,                0.88406,                 2.3151,                0.57276,                0.48436,                0.51832,                0.43471,                 1.5586,                 1.8619,                 2.6329,             7.7496e-05,             7.7496e-05,             7.7496e-05
                     31,                 1.2265,                0.85721,                 2.3018,                0.55531,                0.48943,                0.52145,                0.44376,                 1.5201,                 1.8738,                 2.5849,             7.3892e-05,             7.3892e-05,             7.3892e-05
                     32,                 1.1895,                0.84087,                 2.2682,                0.58408,                0.46685,                0.51579,                0.43877,                 1.5329,                  1.886,                 2.6035,             7.0288e-05,             7.0288e-05,             7.0288e-05
                     33,                 1.1697,                0.82045,                 2.2464,                0.56897,                0.48911,                0.52388,                0.44851,                 1.5251,                 1.8243,                 2.5998,             6.6685e-05,             6.6685e-05,             6.6685e-05
                     34,                 1.1571,                0.77906,                 2.2529,                0.58721,                0.49034,                0.52377,                0.44889,                 1.4971,                 1.9266,                 2.5798,             6.3081e-05,             6.3081e-05,             6.3081e-05
                     35,                  1.135,                0.78202,                 2.2401,                 0.5467,                0.50636,                0.52243,                0.45022,                 1.4981,                 1.8543,                 2.5883,             5.9478e-05,             5.9478e-05,             5.9478e-05
                     36,                 1.1077,                0.75971,                 2.2232,                0.56248,                0.50191,                0.52417,                0.45205,                 1.4853,                 1.8465,                 2.5786,             5.5874e-05,             5.5874e-05,             5.5874e-05
                     37,                 1.0998,                0.73811,                 2.2189,                0.56481,                0.49691,                0.52476,                0.45116,                 1.4909,                 1.8285,                 2.5927,              5.227e-05,              5.227e-05,              5.227e-05
                     38,                 1.0691,                0.72508,                  2.202,                0.56971,                0.48647,                0.52076,                0.44963,                  1.481,                 1.8588,                 2.5727,             4.8667e-05,             4.8667e-05,             4.8667e-05
                     39,                 1.0641,                0.70538,                 2.1857,                0.57473,                0.47949,                0.52366,                0.45491,                 1.4798,                 1.8402,                  2.573,             4.5063e-05,             4.5063e-05,             4.5063e-05
                     40,                 1.0453,                0.69484,                 2.1793,                 0.5476,                 0.4896,                0.51982,                0.45161,                 1.4502,                 1.8689,                 2.5537,              4.146e-05,              4.146e-05,              4.146e-05
                     41,                0.89021,                0.38342,                 2.1344,                0.58989,                0.48735,                 0.5253,                0.45441,                 1.4853,                 1.8522,                 2.5805,             3.7856e-05,             3.7856e-05,             3.7856e-05
                     42,                0.85687,                0.35856,                 2.0781,                0.57888,                0.48834,                0.51889,                0.44853,                 1.5198,                 1.8493,                 2.6042,             3.4252e-05,             3.4252e-05,             3.4252e-05
                     43,                0.83244,                0.34924,                 2.0686,                0.56317,                0.49603,                 0.5264,                0.45855,                 1.4755,                 1.8325,                 2.5906,             3.0649e-05,             3.0649e-05,             3.0649e-05
                     44,                0.80276,                0.32769,                 2.0363,                 0.5644,                0.50519,                0.52653,                0.45631,                 1.4633,                 1.8381,                 2.5677,             2.7045e-05,             2.7045e-05,             2.7045e-05
                     45,                0.77898,                0.32143,                 2.0151,                0.60527,                0.48717,                0.53005,                0.46051,                 1.4669,                 1.8443,                 2.5661,             2.3442e-05,             2.3442e-05,             2.3442e-05
                     46,                 0.7636,                0.31745,                 2.0026,                0.59479,                   0.49,                0.52766,                0.46123,                 1.4685,                 1.8415,                 2.5758,             1.9838e-05,             1.9838e-05,             1.9838e-05
                     47,                0.74146,                0.30336,                 1.9849,                0.59209,                0.49467,                0.52953,                0.46252,                 1.4623,                 1.8253,                 2.5737,             1.6234e-05,             1.6234e-05,             1.6234e-05
                     48,                0.72371,                0.29598,                 1.9775,                0.60075,                 0.4965,                0.53385,                0.46694,                 1.4793,                 1.8395,                 2.5927,             1.2631e-05,             1.2631e-05,             1.2631e-05
                     49,                0.69609,                0.28692,                 1.9581,                0.60223,                0.48978,                 0.5282,                0.46231,                 1.4685,                 1.8193,                 2.5916,             9.0272e-06,             9.0272e-06,             9.0272e-06
                     50,                0.68414,                0.27832,                 1.9488,                0.59851,                0.49641,                0.53174,                0.46699,                 1.4644,                  1.814,                 2.5925,             5.4236e-06,             5.4236e-06,             5.4236e-06
